Percent_families_BPL,Percent_over_5yrs_not_speak_english_well,Percent_HS_grad_25yrs_above,Percent_with_health_insurance,ZIP
3.2,2.3,25.2,97.3,03052
1.4,1.3,24.2,92.4,03053
2.3,2.0,26.6,94.3,03054
3.7,2.3,29.9,91.0,03055
7.3,0.3,26.7,93.2,03057
14.1,12.8,32.1,84.8,03060
2.6,5.3,20.3,94.6,03062
2.4,5.4,23.9,92.6,03063
10.2,4.7,22.5,88.1,03064
1.7,0.6,22.8,95.0,03070
1.2,0.0,25.3,93.0,03071
4.3,1.6,33.5,95.9,03076
3.6,0.9,37.2,89.0,03077
3.1,3.9,32.5,92.0,03079
5.4,0.0,30.8,88.1,03082
2.2,1.1,30.1,92.6,03084
1.2,0.4,30.9,91.9,03086
2.1,0.7,19.2,97.4,03087
20.0,4.5,24.4,84.3,03101
11.5,6.5,31.4,89.4,03102
15.4,11.6,37.2,83.1,03103
6.6,5.4,26.9,90.2,03104
1.7,1.4,24.4,94.1,03106
1.6,4.8,33.3,91.3,03109
1.9,1.2,16.0,96.5,03110
0.0,0.0,17.5,97.7,03215
4.2,2.8,35.1,89.7,03216
8.6,0.0,32.3,82.7,03217
3.3,0.0,48.6,94.1,03218
4.6,0.0,35.8,87.9,03220
5.7,0.0,28.3,88.2,03221
4.9,0.7,38.8,87.1,03222
1.4,0.9,26.6,89.1,03223
0.9,0.5,18.5,94.9,03224
1.6,0.5,32.0,84.4,03225
7.5,0.4,22.1,88.3,03226
9.5,0.2,16.2,85.8,03227
4.3,0.7,18.7,94.2,03229
3.6,0.0,34.4,88.7,03230
0.0,0.0,46.2,84.8,03231
0.0,9.0,23.0,88.8,03233
4.0,0.5,35.7,92.4,03234
16.4,1.2,39.3,87.2,03235
6.5,1.7,28.6,92.0,03237
0.0,0.0,46.8,72.4,03238
6.0,0.2,42.3,85.8,03240
7.6,0.0,24.1,81.6,03241
3.3,0.6,22.0,95.6,03242
2.6,1.4,41.4,90.5,03243
6.6,0.0,30.1,92.2,03244
3.6,1.0,28.1,84.8,03245
14.7,1.1,33.9,86.3,03246
5.1,1.1,31.1,90.8,03249
9.1,2.0,44.5,83.3,03251
8.8,0.4,24.0,91.8,03253
1.6,0.8,24.7,88.0,03254
5.3,0.0,22.2,91.7,03255
3.3,0.8,26.0,89.8,03256
6.1,0.8,8.1,94.7,03257
7.1,0.6,28.8,93.6,03258
0.0,0.0,31.0,87.2,03259
4.0,2.2,18.2,95.1,03260
5.8,0.5,35.5,90.2,03261
2.6,0.6,34.2,83.0,03262
14.8,2.6,34.3,85.7,03263
4.5,1.2,28.3,91.2,03264
9.7,0.9,39.8,83.9,03266
3.1,0.3,40.0,91.0,03268
0.7,0.4,24.9,93.3,03269
0.0,0.0,11.9,89.4,03273
4.3,1.8,37.6,90.9,03275
5.1,1.5,37.1,89.1,03276
1.9,0.9,24.3,89.2,03278
18.3,0.0,41.5,85.2,03279
5.4,0.6,33.5,88.4,03280
3.8,1.5,25.9,88.8,03281
5.3,0.0,38.3,84.4,03282
2.2,0.9,40.7,89.6,03284
1.0,0.0,26.7,87.0,03285
3.2,16.3,27.3,89.1,07013
4.2,9.5,26.5,94.2,07014
0.3,3.7,21.9,94.6,07016
16.6,6.0,37.3,82.8,07017
20.5,6.8,35.0,81.3,07018
8.1,15.7,11.8,89.7,07020
1.0,2.4,11.5,98.4,07021
18.0,32.8,33.3,72.1,07022
0.0,4.2,19.1,96.3,07023
8.1,27.0,19.5,86.3,07024
14.9,28.7,42.3,76.7,07026
0.6,5.5,29.2,93.6,07027
1.1,3.0,14.4,96.8,07028
12.1,35.6,30.8,74.0,07029
8.3,6.9,7.6,95.6,07030
6.9,17.1,32.1,92.6,07031
9.8,24.6,37.3,79.5,07032
1.9,11.5,31.7,95.0,07033
4.1,12.5,30.1,88.6,07034
2.2,10.8,34.4,93.6,07035
7.3,18.9,36.8,84.7,07036
1.8,8.6,14.9,96.5,07039
4.3,7.0,16.0,91.4,07040
2.8,11.1,12.1,93.5,07041
5.1,4.3,15.3,90.9,07042
2.5,1.9,3.6,97.9,07043
2.0,4.7,20.8,93.9,07044
3.5,5.4,17.1,98.3,07045
2.7,2.8,3.7,98.4,07046
13.3,33.1,29.8,79.1,07047
23.1,20.0,34.9,75.0,07050
4.1,14.4,23.7,87.7,07052
4.3,17.2,22.4,90.9,07054
29.3,36.3,35.4,72.5,07055
9.0,27.4,41.8,80.3,07057
2.5,15.2,20.0,89.6,07058
2.0,5.6,17.6,94.9,07059
17.0,31.5,30.1,71.2,07060
13.1,10.8,34.1,81.9,07062
16.9,28.6,33.5,74.8,07063
5.2,6.6,40.8,92.2,07064
6.8,13.2,34.7,87.1,07065
2.3,5.9,32.2,93.2,07066
2.3,10.6,32.4,93.6,07067
1.0,5.0,19.9,95.8,07068
1.1,9.0,16.8,91.9,07069
3.6,9.3,21.4,89.1,07070
5.6,14.8,33.7,86.6,07071
5.1,13.9,31.7,89.1,07072
8.7,13.8,25.6,90.2,07073
8.9,20.1,40.4,82.8,07074
4.5,2.9,28.8,90.1,07075
2.1,5.0,18.3,95.5,07076
0.0,6.3,36.7,86.7,07077
1.5,3.4,4.3,99.0,07078
4.5,3.7,11.0,94.4,07079
3.4,11.5,29.1,90.7,07080
3.5,11.3,20.3,93.5,07081
0.0,8.3,16.8,95.5,07082
6.2,14.0,29.1,91.2,07083
8.7,21.5,18.1,87.3,07086
23.3,44.4,31.4,66.6,07087
19.4,10.0,32.8,77.5,07088
1.7,3.6,13.4,96.3,07090
4.5,4.7,17.1,97.9,07092
17.7,43.3,27.5,69.8,07093
4.0,13.7,26.1,89.9,07094
6.7,17.8,27.5,91.2,07095
32.8,14.6,29.9,80.4,07102
34.0,8.7,37.9,81.1,07103
26.0,28.3,31.6,74.9,07104
18.6,50.7,33.2,60.3,07105
24.0,13.4,37.9,77.7,07106
26.8,25.5,35.7,78.5,07107
35.1,6.1,38.8,82.8,07108
7.9,19.4,31.6,85.5,07109
4.3,9.2,27.9,92.7,07110
22.0,15.7,38.3,78.5,07111
22.3,3.5,34.3,82.4,07112
37.9,17.3,45.9,72.3,07114
15.9,44.2,42.0,70.4,07201
5.8,0.4,14.8,99.7,01985
1.7,4.1,34.3,96.9,02019
4.9,4.7,16.8,99.0,02021
3.7,1.5,11.8,97.7,02025
2.8,5.5,23.5,97.4,02026
0.0,2.4,4.1,98.4,02030
3.1,2.8,22.9,99.1,02032
2.5,1.9,20.0,97.2,02035
2.2,1.6,19.5,98.2,02038
3.1,1.1,13.9,99.0,02043
2.5,2.7,27.0,95.8,02045
0.0,0.0,73.3,100.0,02047
2.1,2.6,20.4,98.0,02048
4.9,2.4,19.5,97.9,02050
3.2,1.3,12.3,99.6,02052
1.3,1.4,18.6,98.5,02053
5.0,2.5,23.9,97.0,02054
3.1,2.2,19.9,98.6,02056
1.8,0.6,19.2,97.4,02061
6.6,6.3,25.8,96.7,02062
1.7,0.4,16.1,99.0,02066
1.4,6.6,8.6,98.5,02067
0.0,4.8,20.2,98.9,02071
6.4,8.3,26.4,98.2,02072
1.8,2.0,18.6,98.4,02081
1.1,3.7,13.1,99.3,02090
2.8,0.7,22.1,97.5,02093
0.0,3.8,4.4,98.6,02108
0.0,8.3,6.0,97.9,02109
0.0,2.3,1.5,98.2,02110
14.3,35.2,15.8,98.2,02111
4.2,4.4,7.8,98.6,02113
7.8,6.0,4.8,97.4,02114
22.7,11.6,12.6,95.8,02115
6.9,9.4,6.8,98.5,02116
16.3,16.8,13.8,96.9,02118
27.8,19.4,28.1,94.5,02119
33.0,17.0,22.3,96.7,02120
32.8,19.0,33.2,93.0,02121
17.1,24.9,31.6,92.7,02122
17.2,16.2,31.3,94.9,02124
25.0,26.9,26.3,93.3,02125
17.7,17.5,34.0,93.6,02126
20.8,9.2,19.9,97.1,02127
16.6,46.0,31.0,89.4,02128
22.6,10.7,15.9,98.4,02129
11.7,12.1,14.4,96.6,02130
14.3,16.3,24.8,95.8,02131
4.7,7.6,20.9,97.3,02132
13.0,13.7,16.5,93.8,02134
16.1,14.3,14.5,96.7,02135
11.1,18.1,32.0,96.4,02136
6.5,5.0,6.2,97.9,02138
9.2,7.6,8.7,97.1,02139
10.5,11.0,12.3,95.7,02140
11.3,11.3,15.9,98.6,02141
9.7,9.3,1.8,98.1,02142
8.3,11.3,13.9,96.6,02143
12.2,4.9,14.8,97.0,02144
10.8,20.1,27.0,92.5,02145
12.2,26.1,29.8,94.0,02148
13.4,28.8,38.2,89.9,02149
17.9,42.4,32.6,90.3,02150
12.3,24.1,38.6,93.9,02151
6.2,6.6,29.5,96.7,02152
6.5,10.6,24.8,96.9,02155
9.3,4.0,0.5,97.0,02163
8.5,16.4,27.0,96.4,02169
6.4,23.8,25.0,97.4,02170
6.8,24.2,22.2,97.0,02171
2.1,5.1,17.7,97.9,02176
3.0,5.0,26.4,97.5,02180
4.4,6.4,29.3,98.4,02184
2.5,3.1,15.8,98.4,02186
5.0,4.9,28.3,96.9,02188
9.4,3.8,30.7,96.9,02189
2.3,5.5,30.4,98.1,02190
1.6,2.0,30.5,98.2,02191
9.0,5.2,6.9,94.3,02199
-666666666.0,-666666666.0,-666666666.0,-666666666.0,02203
0.0,0.7,3.8,94.5,02210
6.9,2.9,32.6,79.2,14541
33.3,0.0,11.1,100.0,14542
3.6,2.3,23.5,99.3,14543
6.1,3.7,27.9,86.2,14544
8.9,0.0,41.9,93.5,14545
6.8,0.6,28.1,94.3,14546
8.4,0.7,35.8,88.3,14548
0.0,0.0,0.0,100.0,14549
5.3,0.1,48.1,90.9,14550
17.3,1.5,43.1,89.8,14551
11.3,0.8,34.7,97.5,14555
3.6,1.3,25.1,95.9,14559
6.2,1.0,36.8,94.7,14560
1.8,5.3,33.4,85.1,14561
1.0,2.9,19.5,95.9,14564
1.5,0.4,27.4,95.2,14568
16.8,1.0,39.9,90.5,14569
3.4,2.9,35.7,85.9,14571
12.3,0.2,40.8,91.3,14572
4.9,3.4,21.5,96.5,14580
0.0,0.0,40.5,100.0,14585
5.6,6.9,27.6,94.2,14586
0.0,1.2,43.0,100.0,14588
8.3,2.5,37.6,93.2,14589
11.3,1.4,43.8,89.3,14590
6.1,0.0,30.2,94.0,14591
0.0,0.0,23.2,100.0,14592
47.5,6.1,30.3,91.6,14604
50.0,15.4,31.7,91.4,14605
20.4,7.4,36.1,92.2,14606
22.3,2.8,16.0,86.1,14607
48.7,11.6,31.2,91.2,14608
20.9,6.6,29.3,92.6,14609
4.9,5.2,14.5,95.5,14610
38.6,3.5,35.5,89.7,14611
4.1,2.3,28.2,94.7,14612
24.8,11.4,35.6,89.5,14613
-666666666.0,9.5,27.0,88.4,14614
